stimulus,question,views,size,grid,mode,examples,truth,parsed,correct,ms,said
mark-right-a,mark,one,96,32,separate,0,right,right,true,2377,"right"
mark-right-b,mark,one,96,32,separate,0,right,right,true,1284,"right"
ball,name,one,128,32,separate,0,ball,ball,true,2234,"ball"
cube,name,one,128,32,separate,0,cube,cube,true,2245,"cube"
pillar,name,one,128,32,separate,0,pillar,pillar,true,2278,"pillar"
cone,name,one,128,32,separate,0,cone,cone,true,2277,"cone"
pyramid,name,one,128,32,separate,0,pyramid,pyramid,true,2099,"pyramid"
ring,name,one,128,32,separate,0,ring,ring,true,2098,"ring"
plate,name,one,128,32,separate,0,plate,plate,true,2229,"plate"
l-shape,name,one,128,32,separate,0,l-shape,l-shape,true,2231,"l-shape"
t-shape,name,one,128,32,separate,0,t-shape,t-shape,true,2145,"t-shape"
cross,name,one,128,32,separate,0,cross,cross,true,2145,"cross"
staircase,name,one,128,32,separate,0,staircase,staircase,true,2208,"staircase"
arch,name,one,128,32,separate,0,arch,arch,true,2209,"arch"
wide-1,longest,one,128,32,separate,0,width,width,true,2043,"width"
wide-2,longest,one,128,32,separate,0,width,depth,false,2044,"depth"
wide-3,longest,one,128,32,separate,0,width,width,true,2321,"width"
tall-1,longest,one,128,32,separate,0,height,height,true,2316,"height"
tall-2,longest,one,128,32,separate,0,height,height,true,2218,"height"
tall-3,longest,one,128,32,separate,0,height,height,true,2210,"height"
deep-1,longest,one,128,32,separate,0,depth,width,false,2105,"width"
deep-2,longest,one,128,32,separate,0,depth,depth,true,2106,"depth"
deep-3,longest,one,128,32,separate,0,depth,width,false,2243,"width"
one-block,parts,one,128,32,separate,0,1,1,true,2242,"1"
one-block,floating,one,128,32,separate,0,no,no,true,2017,"No"
one-ball,parts,one,128,32,separate,0,1,1,true,2002,"1"
one-ball,floating,one,128,32,separate,0,no,no,true,2000,"No"
one-capped,parts,one,128,32,separate,0,1,1,true,2000,"1"
one-capped,floating,one,128,32,separate,0,no,no,true,2033,"No"
two-floor,parts,one,128,32,separate,0,2,2,true,2017,"2"
two-floor,floating,one,128,32,separate,0,no,no,true,2002,"No"
two-air,parts,one,128,32,separate,0,2,2,true,2002,"2"
two-air,floating,one,128,32,separate,0,yes,yes,true,2167,"Yes. The top cube is not resting"
two-air-side,parts,one,128,32,separate,0,2,2,true,2012,"2"
two-air-side,floating,one,128,32,separate,0,yes,no,false,2342,"No"
three-floor,parts,one,128,32,separate,0,3,3,true,2683,"3"
three-floor,floating,one,128,32,separate,0,no,no,true,2592,"No"
three-one-air,parts,one,128,32,separate,0,3,3,true,2459,"3"
three-one-air,floating,one,128,32,separate,0,yes,yes,true,2705,"Yes. The top cube is not connected"
three-two-air,parts,one,128,32,separate,0,3,3,true,2359,"3"
three-two-air,floating,one,128,32,separate,0,yes,yes,true,2990,"Yes. The two textured spherical objects are"
four-floor,parts,one,128,32,separate,0,4,2,false,2001,"2"
four-floor,floating,one,128,32,separate,0,no,yes,false,2464,"Yes. Looking at the image from"
four-one-air,parts,one,128,32,separate,0,4,2,false,1489,"2"
four-one-air,floating,one,128,32,separate,0,yes,yes,true,3180,"Yes. The cube at the back is"
four-two-air,parts,one,128,32,separate,0,4,4,true,2006,"4"
four-two-air,floating,one,128,32,separate,0,yes,yes,true,2350,"Yes. In the provided image, there"
mark-front-a,mark,one,128,32,separate,0,front,left,false,1669,"left"
mark-front-b,mark,one,128,32,separate,0,front,front,true,2540,"front"
mark-back-a,mark,one,128,32,separate,0,back,right,false,2424,"right"
mark-back-b,mark,one,128,32,separate,0,back,right,false,1579,"right"
mark-left-a,mark,one,128,32,separate,0,left,front,false,1212,"front"
mark-left-b,mark,one,128,32,separate,0,left,right,false,1454,"right"
mark-right-a,mark,one,128,32,separate,0,right,right,true,2030,"right"
mark-right-b,mark,one,128,32,separate,0,right,right,true,1576,"right"
ball,name,one,224,32,separate,0,ball,ball,true,2233,"ball"
cube,name,one,224,32,separate,0,cube,cube,true,2244,"cube"
pillar,name,one,224,32,separate,0,pillar,pillar,true,2094,"pillar"
cone,name,one,224,32,separate,0,cone,cone,true,2101,"cone"
pyramid,name,one,224,32,separate,0,pyramid,pyramid,true,2227,"pyramid"
ring,name,one,224,32,separate,0,ring,ring,true,2218,"ring"
plate,name,one,224,32,separate,0,plate,plate,true,2232,"plate"
l-shape,name,one,224,32,separate,0,l-shape,l-shape,true,2241,"l-shape"
t-shape,name,one,224,32,separate,0,t-shape,t-shape,true,2248,"t-shape"
cross,name,one,224,32,separate,0,cross,cross,true,2239,"cross"
staircase,name,one,224,32,separate,0,staircase,staircase,true,2230,"staircase"
arch,name,one,224,32,separate,0,arch,arch,true,2239,"arch"
wide-1,longest,one,224,32,separate,0,width,width,true,2072,"width"
wide-2,longest,one,224,32,separate,0,width,width,true,2082,"width"
wide-3,longest,one,224,32,separate,0,width,width,true,2289,"width"
tall-1,longest,one,224,32,separate,0,height,height,true,2280,"height"
tall-2,longest,one,224,32,separate,0,height,height,true,2143,"height"
tall-3,longest,one,224,32,separate,0,height,height,true,2133,"height"
deep-1,longest,one,224,32,separate,0,depth,width,false,2209,"width"
deep-2,longest,one,224,32,separate,0,depth,width,false,2200,"width"
deep-3,longest,one,224,32,separate,0,depth,width,false,2157,"width"
one-block,parts,one,224,32,separate,0,1,1,true,2170,"1"
one-block,floating,one,224,32,separate,0,no,no,true,1896,"No"
one-ball,parts,one,224,32,separate,0,1,1,true,1887,"1"
one-ball,floating,one,224,32,separate,0,no,no,true,1997,"No"
one-capped,parts,one,224,32,separate,0,1,1,true,2007,"1"
one-capped,floating,one,224,32,separate,0,no,no,true,1991,"No"
two-floor,parts,one,224,32,separate,0,2,2,true,1981,"2"
two-floor,floating,one,224,32,separate,0,no,no,true,2008,"No"
two-air,parts,one,224,32,separate,0,2,2,true,2017,"2"
two-air,floating,one,224,32,separate,0,yes,yes,true,2173,"Yes. The top cube is not touching"
two-air-side,parts,one,224,32,separate,0,2,2,true,2028,"2"
two-air-side,floating,one,224,32,separate,0,yes,no,false,2237,"No"
three-floor,parts,one,224,32,separate,0,3,3,true,2445,"3"
three-floor,floating,one,224,32,separate,0,no,no,true,2443,"No"
three-one-air,parts,one,224,32,separate,0,3,3,true,2568,"3"
three-one-air,floating,one,224,32,separate,0,yes,yes,true,2802,"Yes. In the three-quarter front-right"
three-two-air,parts,one,224,32,separate,0,3,3,true,2334,"3"
three-two-air,floating,one,224,32,separate,0,yes,yes,true,3243,"Yes. The two spherical-like structures are"
four-floor,parts,one,224,32,separate,0,4,3,false,2257,"3"
four-floor,floating,one,224,32,separate,0,no,yes,false,2594,"Yes. In the center column, there"
four-one-air,parts,one,224,32,separate,0,4,2,false,1616,"2"
four-one-air,floating,one,224,32,separate,0,yes,yes,true,2998,"Yes. The top cube is floating in"
four-two-air,parts,one,224,32,separate,0,4,4,true,2026,"4"
four-two-air,floating,one,224,32,separate,0,yes,yes,true,2573,"Yes. In the provided image, there"
mark-front-a,mark,one,224,32,separate,0,front,left,false,1608,"left"
mark-front-b,mark,one,224,32,separate,0,front,left,false,2076,"left"
mark-back-a,mark,one,224,32,separate,0,back,right,false,2085,"right"
mark-back-b,mark,one,224,32,separate,0,back,right,false,1867,"right"
mark-left-a,mark,one,224,32,separate,0,left,right,false,1591,"right"
mark-left-b,mark,one,224,32,separate,0,left,right,false,2382,"right"
mark-right-a,mark,one,224,32,separate,0,right,right,true,2372,"right"
mark-right-b,mark,one,224,32,separate,0,right,right,true,1272,"right"
ball,name,one,320,32,separate,0,ball,ball,true,2162,"ball"
cube,name,one,320,32,separate,0,cube,cube,true,2142,"cube"
pillar,name,one,320,32,separate,0,pillar,pillar,true,2222,"pillar"
cone,name,one,320,32,separate,0,cone,pyramid,false,2237,"pyramid"
pyramid,name,one,320,32,separate,0,pyramid,pyramid,true,2074,"pyramid"
ring,name,one,320,32,separate,0,ring,ring,true,2057,"ring"
plate,name,one,320,32,separate,0,plate,plate,true,2242,"plate"
l-shape,name,one,320,32,separate,0,l-shape,l-shape,true,2260,"l-shape"
t-shape,name,one,320,32,separate,0,t-shape,t-shape,true,2237,"t-shape"
cross,name,one,320,32,separate,0,cross,cross,true,2254,"cross"
staircase,name,one,320,32,separate,0,staircase,staircase,true,2111,"staircase"
arch,name,one,320,32,separate,0,arch,arch,true,2092,"arch"
wide-1,longest,one,320,32,separate,0,width,width,true,2211,"width"
wide-2,longest,one,320,32,separate,0,width,width,true,2230,"width"
wide-3,longest,one,320,32,separate,0,width,width,true,2253,"width"
tall-1,longest,one,320,32,separate,0,height,height,true,2271,"height"
tall-2,longest,one,320,32,separate,0,height,height,true,2140,"height"
tall-3,longest,one,320,32,separate,0,height,height,true,2159,"height"
deep-1,longest,one,320,32,separate,0,depth,width,false,2168,"width"
deep-2,longest,one,320,32,separate,0,depth,width,false,2187,"width"
deep-3,longest,one,320,32,separate,0,depth,width,false,2148,"width"
one-block,parts,one,320,32,separate,0,1,1,true,2169,"1"
one-block,floating,one,320,32,separate,0,no,no,true,1816,"No"
one-ball,parts,one,320,32,separate,0,1,1,true,1800,"1"
one-ball,floating,one,320,32,separate,0,no,no,true,1925,"No"
one-capped,parts,one,320,32,separate,0,1,1,true,1942,"1"
one-capped,floating,one,320,32,separate,0,no,no,true,2184,"No"
two-floor,parts,one,320,32,separate,0,2,2,true,2165,"2"
two-floor,floating,one,320,32,separate,0,no,no,true,1835,"No"
two-air,parts,one,320,32,separate,0,2,2,true,1853,"2"
two-air,floating,one,320,32,separate,0,yes,yes,true,2271,"Yes. The top cube is not touching"
two-air-side,parts,one,320,32,separate,0,2,2,true,2138,"2"
two-air-side,floating,one,320,32,separate,0,yes,no,false,2158,"No"
three-floor,parts,one,320,32,separate,0,3,3,true,2393,"3"
three-floor,floating,one,320,32,separate,0,no,no,true,2456,"No"
three-one-air,parts,one,320,32,separate,0,3,3,true,2568,"3"
three-one-air,floating,one,320,32,separate,0,yes,yes,true,2791,"Yes. Looking at the three-quarter"
three-two-air,parts,one,320,32,separate,0,3,3,true,2327,"3"
three-two-air,floating,one,320,32,separate,0,yes,yes,true,2021,"Yes"
four-floor,parts,one,320,32,separate,0,4,3,false,2004,"3"
four-floor,floating,one,320,32,separate,0,no,yes,false,3168,"Yes. In the central column, there"
four-one-air,parts,one,320,32,separate,0,4,2,false,2185,"2"
four-one-air,floating,one,320,32,separate,0,yes,yes,true,2555,"Yes. The top cube is floating in"
four-two-air,parts,one,320,32,separate,0,4,4,true,1588,"4"
four-two-air,floating,one,320,32,separate,0,yes,yes,true,2360,"Yes. In the provided image, there"
mark-front-a,mark,one,320,32,separate,0,front,left,false,1997,"left"
mark-front-b,mark,one,320,32,separate,0,front,front,true,2447,"front"
mark-back-a,mark,one,320,32,separate,0,back,right,false,2565,"right"
mark-back-b,mark,one,320,32,separate,0,back,right,false,1663,"right"
mark-left-a,mark,one,320,32,separate,0,left,right,false,1197,"right"
mark-left-b,mark,one,320,32,separate,0,left,right,false,1450,"right"
mark-right-a,mark,one,320,32,separate,0,right,right,true,2044,"right"
mark-right-b,mark,one,320,32,separate,0,right,right,true,1577,"right"
ball,name,one,448,32,separate,0,ball,ball,true,2232,"ball"
cube,name,one,448,32,separate,0,cube,cube,true,2272,"cube"
pillar,name,one,448,32,separate,0,pillar,pillar,true,2080,"pillar"
cone,name,one,448,32,separate,0,cone,pyramid,false,2108,"pyramid"
pyramid,name,one,448,32,separate,0,pyramid,pyramid,true,2239,"pyramid"
ring,name,one,448,32,separate,0,ring,ring,true,2272,"ring"
plate,name,one,448,32,separate,0,plate,plate,true,2187,"plate"
l-shape,name,one,448,32,separate,0,l-shape,l-shape,true,2151,"l-shape"
t-shape,name,one,448,32,separate,0,t-shape,t-shape,true,2208,"t-shape"
cross,name,one,448,32,separate,0,cross,cross,true,2241,"cross"
staircase,name,one,448,32,separate,0,staircase,staircase,true,2049,"staircase"
arch,name,one,448,32,separate,0,arch,arch,true,2084,"arch"
wide-1,longest,one,448,32,separate,0,width,width,true,2229,"width"
wide-2,longest,one,448,32,separate,0,width,depth,false,2265,"depth"
wide-3,longest,one,448,32,separate,0,width,width,true,2336,"width"
tall-1,longest,one,448,32,separate,0,height,height,true,2300,"height"
tall-2,longest,one,448,32,separate,0,height,height,true,2100,"height"
tall-3,longest,one,448,32,separate,0,height,height,true,2136,"height"
deep-1,longest,one,448,32,separate,0,depth,width,false,2235,"width"
deep-2,longest,one,448,32,separate,0,depth,width,false,2271,"width"
deep-3,longest,one,448,32,separate,0,depth,width,false,2268,"width"
one-block,parts,one,448,32,separate,0,1,1,true,2311,"1"
one-block,floating,one,448,32,separate,0,no,no,true,2056,"No"
one-ball,parts,one,448,32,separate,0,1,1,true,2024,"1"
one-ball,floating,one,448,32,separate,0,no,no,true,2004,"No"
one-capped,parts,one,448,32,separate,0,1,1,true,2037,"1"
one-capped,floating,one,448,32,separate,0,no,no,true,2022,"No"
two-floor,parts,one,448,32,separate,0,2,2,true,1985,"2"
two-floor,floating,one,448,32,separate,0,no,no,true,2010,"No"
two-air,parts,one,448,32,separate,0,2,2,true,2046,"2"
two-air,floating,one,448,32,separate,0,yes,yes,true,2103,"Yes. The top cube is not touching"
two-air-side,parts,one,448,32,separate,0,2,2,true,2016,"2"
two-air-side,floating,one,448,32,separate,0,yes,no,false,2032,"No"
three-floor,parts,one,448,32,separate,0,3,3,true,1979,"3"
three-floor,floating,one,448,32,separate,0,no,no,true,2124,"No"
three-one-air,parts,one,448,32,separate,0,3,3,true,2095,"3"
three-one-air,floating,one,448,32,separate,0,yes,yes,true,2083,"Yes. The top cube is not connected"
three-two-air,parts,one,448,32,separate,0,3,3,true,1998,"3"
three-two-air,floating,one,448,32,separate,0,yes,yes,true,2223,"Yes. The two smaller, detailed cube"
four-floor,parts,one,448,32,separate,0,4,3,false,1968,"3"
four-floor,floating,one,448,32,separate,0,no,yes,false,2444,"Yes. In the central column, there"
four-one-air,parts,one,448,32,separate,0,4,2,false,2230,"2"
four-one-air,floating,one,448,32,separate,0,yes,yes,true,2185,"Yes. The top cube is floating in"
four-two-air,parts,one,448,32,separate,0,4,4,true,1974,"4"
four-two-air,floating,one,448,32,separate,0,yes,yes,true,2500,"Yes. In the provided image, there"
mark-front-a,mark,one,448,32,separate,0,front,left,false,2283,"left"
mark-front-b,mark,one,448,32,separate,0,front,front,true,2081,"front"
mark-back-a,mark,one,448,32,separate,0,back,front,false,1996,"front"
mark-back-b,mark,one,448,32,separate,0,back,right,false,1945,"right"
mark-left-a,mark,one,448,32,separate,0,left,front,false,1379,"front"
mark-left-b,mark,one,448,32,separate,0,left,right,false,2635,"right"
mark-right-a,mark,one,448,32,separate,0,right,right,true,2325,"right"
mark-right-b,mark,one,448,32,separate,0,right,right,true,1244,"right"
