stimulus,question,views,size,grid,mode,examples,grammar,truth,parsed,correct,ms,said
two-floor,floating,fiveIso,96,32,separate,0,false,no,no,true,7401,"No"
two-air,parts,fiveIso,96,32,separate,0,false,2,2,true,7393,"2"
two-air,floating,fiveIso,96,32,separate,0,false,yes,yes,true,12653,"Yes. The top cube is not resting on the ground and is not touching the bottom cu"
two-air-side,parts,fiveIso,96,32,separate,0,false,2,2,true,7551,"2"
two-air-side,floating,fiveIso,96,32,separate,0,false,yes,unparsed,false,18677,"Yes. Looking at the views, especially the front-right and back-left perspectives"
three-floor,parts,fiveIso,96,32,separate,0,false,3,3,true,4872,"3"
three-floor,floating,fiveIso,96,32,separate,0,false,no,no,true,4757,"No"
three-one-air,parts,fiveIso,96,32,separate,0,false,3,3,true,6088,"3"
three-one-air,floating,fiveIso,96,32,separate,0,false,yes,unparsed,false,20804,"Based on the analysis of the five views provided: - The **top view** shows three"
three-two-air,parts,fiveIso,96,32,separate,0,false,3,3,true,8078,"3"
three-two-air,floating,fiveIso,96,32,separate,0,false,yes,yes,true,5579,"Yes. The two spherical objects are shown floating above the cube and not connect"
four-floor,parts,fiveIso,96,32,separate,0,false,4,4,true,4990,"4"
four-floor,floating,fiveIso,96,32,separate,0,false,no,yes,false,16064,"Yes. Based on the provided images, particularly the 'front-right' view, there is"
four-one-air,parts,fiveIso,96,32,separate,0,false,4,2,false,7504,"2"
four-one-air,floating,fiveIso,96,32,separate,0,false,yes,yes,true,6320,"Yes. Based on the provided views, particularly the 'front-right' and 'back-left'"
four-two-air,parts,fiveIso,96,32,separate,0,false,4,4,true,7461,"4"
four-two-air,floating,fiveIso,96,32,separate,0,false,yes,unparsed,false,26638,"Looking at the five views provided: - The **front-right**, **back-right**, **bac"
mark-front-a,mark,fiveIso,96,32,separate,0,false,front,right,false,6569,"right"
mark-front-b,mark,fiveIso,96,32,separate,0,false,front,front,true,5035,"front"
mark-back-a,mark,fiveIso,96,32,separate,0,false,back,right,false,4956,"right"
mark-back-b,mark,fiveIso,96,32,separate,0,false,back,back,true,5295,"back"
mark-left-a,mark,fiveIso,96,32,separate,0,false,left,left,true,8252,"left"
mark-left-b,mark,fiveIso,96,32,separate,0,false,left,left,true,8270,"left"
mark-right-a,mark,fiveIso,96,32,separate,0,false,right,right,true,8283,"right"
mark-right-b,mark,fiveIso,96,32,separate,0,false,right,right,true,7923,"right"
ball,name,fiveIso,96,32,separate,3,false,ball,ball,true,20385,"ball"
cube,name,fiveIso,96,32,separate,3,false,cube,cube,true,20390,"cube"
pillar,name,fiveIso,96,32,separate,3,false,pillar,pillar,true,20722,"pillar"
cone,name,fiveIso,96,32,separate,3,false,cone,cone,true,20731,"cone"
pyramid,name,fiveIso,96,32,separate,3,false,pyramid,pyramid,true,20003,"pyramid"
ring,name,fiveIso,96,32,separate,3,false,ring,ring,true,19993,"ring"
plate,name,fiveIso,96,32,separate,3,false,plate,plate,true,20108,"plate"
l-shape,name,fiveIso,96,32,separate,3,false,l-shape,l-shape,true,20110,"l-shape"
t-shape,name,fiveIso,96,32,separate,3,false,t-shape,t-shape,true,20159,"t-shape"
cross,name,fiveIso,96,32,separate,3,false,cross,cross,true,20164,"cross"
staircase,name,fiveIso,96,32,separate,3,false,staircase,staircase,true,20166,"staircase"
arch,name,fiveIso,96,32,separate,3,false,arch,arch,true,20171,"arch"
wide-1,longest,fiveIso,96,32,separate,3,false,width,width,true,20183,"width"
wide-2,longest,fiveIso,96,32,separate,3,false,width,width,true,20176,"width"
wide-3,longest,fiveIso,96,32,separate,3,false,width,width,true,20163,"width"
tall-1,longest,fiveIso,96,32,separate,3,false,height,height,true,20157,"height"
tall-2,longest,fiveIso,96,32,separate,3,false,height,height,true,20100,"height"
tall-3,longest,fiveIso,96,32,separate,3,false,height,height,true,20103,"height"
deep-1,longest,fiveIso,96,32,separate,3,false,depth,depth,true,20318,"depth"
deep-2,longest,fiveIso,96,32,separate,3,false,depth,depth,true,20320,"depth"
deep-3,longest,fiveIso,96,32,separate,3,false,depth,depth,true,20101,"depth"
one-block,parts,fiveIso,96,32,separate,3,false,1,1,true,20091,"1"
one-block,floating,fiveIso,96,32,separate,3,false,no,no,true,20207,"No"
one-ball,parts,fiveIso,96,32,separate,3,false,1,1,true,20211,"1"
one-ball,floating,fiveIso,96,32,separate,3,false,no,no,true,20190,"No"
one-capped,parts,fiveIso,96,32,separate,3,false,1,1,true,20185,"1"
one-capped,floating,fiveIso,96,32,separate,3,false,no,no,true,20121,"No"
two-floor,parts,fiveIso,96,32,separate,3,false,2,2,true,20114,"2"
two-floor,floating,fiveIso,96,32,separate,3,false,no,no,true,20064,"No"
two-air,parts,fiveIso,96,32,separate,3,false,2,2,true,20065,"2"
two-air,floating,fiveIso,96,32,separate,3,false,yes,yes,true,20742,"Yes. The top cube is separated from the bottom cube by a gap, meaning it is floa"
two-air-side,parts,fiveIso,96,32,separate,3,false,2,2,true,20164,"2"
two-air-side,floating,fiveIso,96,32,separate,3,false,yes,unparsed,false,33933,"Based on the provided views, we can analyze the structure of the model. - The 'f"
three-floor,parts,fiveIso,96,32,separate,3,false,3,3,true,20092,"3"
three-floor,floating,fiveIso,96,32,separate,3,false,no,no,true,12961,"No"
three-one-air,parts,fiveIso,96,32,separate,3,false,3,3,true,20338,"3"
three-one-air,floating,fiveIso,96,32,separate,3,false,yes,no,false,20136,"No"
three-two-air,parts,fiveIso,96,32,separate,3,false,3,3,true,20035,"3"
three-two-air,floating,fiveIso,96,32,separate,3,false,yes,unparsed,false,23914,"Yes. The two spherical objects are shown hovering above the cube in all angled v"
four-floor,parts,fiveIso,96,32,separate,3,false,4,4,true,18364,"4"
four-floor,floating,fiveIso,96,32,separate,3,false,no,no,true,21180,"No"
four-one-air,parts,fiveIso,96,32,separate,3,false,4,2,false,21181,"2"
four-one-air,floating,fiveIso,96,32,separate,3,false,yes,unparsed,false,30901,"Yes. Based on the provided views, particularly the 'front-right' and 'back-left'"
four-two-air,parts,fiveIso,96,32,separate,3,false,4,4,true,16194,"4"
four-two-air,floating,fiveIso,96,32,separate,3,false,yes,yes,true,33774,"Yes. In all the angled views (front-right, back-right, back-left, front-left), t"
mark-front-a,mark,fiveIso,96,32,separate,3,false,front,front,true,20023,"front"
mark-front-b,mark,fiveIso,96,32,separate,3,false,front,front,true,13018,"front"
mark-back-a,mark,fiveIso,96,32,separate,3,false,back,right,false,20080,"right"
mark-back-b,mark,fiveIso,96,32,separate,3,false,back,back,true,19628,"back"
mark-left-a,mark,fiveIso,96,32,separate,3,false,left,left,true,20059,"left"
mark-left-b,mark,fiveIso,96,32,separate,3,false,left,back,false,20063,"back"
mark-right-a,mark,fiveIso,96,32,separate,3,false,right,right,true,20082,"right"
mark-right-b,mark,fiveIso,96,32,separate,3,false,right,right,true,20085,"right"
