stimulus,question,views,size,grid,mode,examples,truth,parsed,correct,ms,said
deep-1,longest,one,96,16,separate,0,depth,width,false,2136,"width"
deep-2,longest,one,96,16,separate,0,depth,depth,true,2137,"depth"
deep-3,longest,one,96,16,separate,0,depth,width,false,2161,"width"
one-block,parts,one,96,16,separate,0,1,1,true,2161,"1"
one-block,floating,one,96,16,separate,0,no,no,true,2014,"No"
one-ball,parts,one,96,16,separate,0,1,1,true,2006,"1"
one-ball,floating,one,96,16,separate,0,no,no,true,2005,"No"
one-capped,parts,one,96,16,separate,0,1,1,true,2004,"1"
one-capped,floating,one,96,16,separate,0,no,no,true,1998,"No"
two-floor,parts,one,96,16,separate,0,2,2,true,1990,"2"
two-floor,floating,one,96,16,separate,0,no,no,true,1982,"No"
two-air,parts,one,96,16,separate,0,2,2,true,1982,"2"
two-air,floating,one,96,16,separate,0,yes,yes,true,2175,"Yes. The top cube is not connected"
two-air-side,parts,one,96,16,separate,0,2,1,false,2028,"1"
two-air-side,floating,one,96,16,separate,0,yes,no,false,2173,"No"
three-floor,parts,one,96,16,separate,0,3,1,false,2450,"1"
three-floor,floating,one,96,16,separate,0,no,no,true,2509,"No"
three-one-air,parts,one,96,16,separate,0,3,3,true,2580,"3"
three-one-air,floating,one,96,16,separate,0,yes,yes,true,2855,"Yes. In the three-quarter front-right"
three-two-air,parts,one,96,16,separate,0,3,3,true,2368,"3"
three-two-air,floating,one,96,16,separate,0,yes,yes,true,2161,"Yes. The two smaller cubes with studs"
four-floor,parts,one,96,16,separate,0,4,4,true,2013,"4"
four-floor,floating,one,96,16,separate,0,no,no,true,2243,"No"
four-one-air,parts,one,96,16,separate,0,4,2,false,2463,"2"
four-one-air,floating,one,96,16,separate,0,yes,yes,true,2702,"Yes. The top cube is not connected"
four-two-air,parts,one,96,16,separate,0,4,4,true,2342,"4"
four-two-air,floating,one,96,16,separate,0,yes,yes,true,2356,"Yes. In the three-quarter front-right"
mark-front-a,mark,one,96,16,separate,0,front,left,false,2006,"left"
mark-front-b,mark,one,96,16,separate,0,front,front,true,2452,"front"
mark-back-a,mark,one,96,16,separate,0,back,front,false,2593,"front"
mark-back-b,mark,one,96,16,separate,0,back,back,true,1683,"back"
mark-left-a,mark,one,96,16,separate,0,left,front,false,1198,"front"
mark-left-b,mark,one,96,16,separate,0,left,back,false,1386,"back"
mark-right-a,mark,one,96,16,separate,0,right,right,true,1969,"right"
mark-right-b,mark,one,96,16,separate,0,right,right,true,1586,"right"
ball,name,one,96,32,separate,0,ball,ball,true,2133,"ball"
cube,name,one,96,32,separate,0,cube,cube,true,2143,"cube"
pillar,name,one,96,32,separate,0,pillar,pillar,true,2167,"pillar"
cone,name,one,96,32,separate,0,cone,cone,true,2167,"cone"
pyramid,name,one,96,32,separate,0,pyramid,pyramid,true,2238,"pyramid"
ring,name,one,96,32,separate,0,ring,ring,true,2238,"ring"
plate,name,one,96,32,separate,0,plate,plate,true,2199,"plate"
l-shape,name,one,96,32,separate,0,l-shape,l-shape,true,2200,"l-shape"
t-shape,name,one,96,32,separate,0,t-shape,t-shape,true,2162,"t-shape"
cross,name,one,96,32,separate,0,cross,cross,true,2163,"cross"
staircase,name,one,96,32,separate,0,staircase,staircase,true,2158,"staircase"
arch,name,one,96,32,separate,0,arch,arch,true,2159,"arch"
wide-1,longest,one,96,32,separate,0,width,width,true,2265,"width"
wide-2,longest,one,96,32,separate,0,width,depth,false,2264,"depth"
wide-3,longest,one,96,32,separate,0,width,width,true,2315,"width"
tall-1,longest,one,96,32,separate,0,height,height,true,2313,"height"
tall-2,longest,one,96,32,separate,0,height,height,true,2079,"height"
tall-3,longest,one,96,32,separate,0,height,height,true,2083,"height"
deep-1,longest,one,96,32,separate,0,depth,depth,true,2235,"depth"
deep-2,longest,one,96,32,separate,0,depth,depth,true,2236,"depth"
deep-3,longest,one,96,32,separate,0,depth,width,false,2231,"width"
one-block,parts,one,96,32,separate,0,1,1,true,2230,"1"
one-block,floating,one,96,32,separate,0,no,no,true,2024,"No"
one-ball,parts,one,96,32,separate,0,1,1,true,2009,"1"
one-ball,floating,one,96,32,separate,0,no,no,true,2001,"No"
one-capped,parts,one,96,32,separate,0,1,1,true,1998,"1"
one-capped,floating,one,96,32,separate,0,no,no,true,2008,"No"
two-floor,parts,one,96,32,separate,0,2,2,true,1999,"2"
two-floor,floating,one,96,32,separate,0,no,no,true,2017,"No"
two-air,parts,one,96,32,separate,0,2,2,true,2018,"2"
two-air,floating,one,96,32,separate,0,yes,yes,true,2170,"Yes. The top cube is not resting"
two-air-side,parts,one,96,32,separate,0,2,2,true,2023,"2"
two-air-side,floating,one,96,32,separate,0,yes,no,false,2144,"No"
three-floor,parts,one,96,32,separate,0,3,3,true,2415,"3"
three-floor,floating,one,96,32,separate,0,no,no,true,2515,"No"
three-one-air,parts,one,96,32,separate,0,3,3,true,2593,"3"
three-one-air,floating,one,96,32,separate,0,yes,no,false,2592,"No"
three-two-air,parts,one,96,32,separate,0,3,3,true,2547,"3"
three-two-air,floating,one,96,32,separate,0,yes,yes,true,2782,"Yes. The two spherical shapes are floating"
four-floor,parts,one,96,32,separate,0,4,3,false,2338,"3"
four-floor,floating,one,96,32,separate,0,no,no,true,1962,"No"
four-one-air,parts,one,96,32,separate,0,4,2,false,1954,"2"
four-one-air,floating,one,96,32,separate,0,yes,yes,true,2950,"Yes. The cube at the back ("
four-two-air,parts,one,96,32,separate,0,4,4,true,1950,"4"
four-two-air,floating,one,96,32,separate,0,yes,yes,true,2502,"Yes. In the three-quarter front-right"
mark-front-a,mark,one,96,32,separate,0,front,front,true,1550,"front"
mark-front-b,mark,one,96,32,separate,0,front,front,true,2259,"front"
mark-back-a,mark,one,96,32,separate,0,back,right,false,2211,"right"
mark-back-b,mark,one,96,32,separate,0,back,right,false,2233,"right"
mark-left-a,mark,one,96,32,separate,0,left,right,false,1674,"right"
mark-left-b,mark,one,96,32,separate,0,left,right,false,2656,"right"
mark-right-a,mark,one,96,32,separate,0,right,right,true,2364,"right"
mark-right-b,mark,one,96,32,separate,0,right,right,true,1262,"right"
ball,name,one,96,64,separate,0,ball,ball,true,2107,"ball"
cube,name,one,96,64,separate,0,cube,cube,true,2103,"cube"
pillar,name,one,96,64,separate,0,pillar,pillar,true,2211,"pillar"
cone,name,one,96,64,separate,0,cone,cone,true,2207,"cone"
pyramid,name,one,96,64,separate,0,pyramid,pyramid,true,2237,"pyramid"
ring,name,one,96,64,separate,0,ring,ring,true,2233,"ring"
plate,name,one,96,64,separate,0,plate,plate,true,2220,"plate"
l-shape,name,one,96,64,separate,0,l-shape,l-shape,true,2219,"l-shape"
t-shape,name,one,96,64,separate,0,t-shape,t-shape,true,2234,"t-shape"
cross,name,one,96,64,separate,0,cross,cross,true,2239,"cross"
staircase,name,one,96,64,separate,0,staircase,staircase,true,2060,"staircase"
arch,name,one,96,64,separate,0,arch,arch,true,2055,"arch"
wide-1,longest,one,96,64,separate,0,width,width,true,2231,"width"
wide-2,longest,one,96,64,separate,0,width,width,true,2234,"width"
wide-3,longest,one,96,64,separate,0,width,width,true,2276,"width"
tall-1,longest,one,96,64,separate,0,height,height,true,2283,"height"
tall-2,longest,one,96,64,separate,0,height,height,true,2212,"height"
tall-3,longest,one,96,64,separate,0,height,height,true,2216,"height"
deep-1,longest,one,96,64,separate,0,depth,width,false,2109,"width"
deep-2,longest,one,96,64,separate,0,depth,depth,true,2113,"depth"
deep-3,longest,one,96,64,separate,0,depth,width,false,2227,"width"
one-block,parts,one,96,64,separate,0,1,1,true,2231,"1"
one-block,floating,one,96,64,separate,0,no,no,true,2010,"No"
one-ball,parts,one,96,64,separate,0,1,1,true,2006,"1"
one-ball,floating,one,96,64,separate,0,no,no,true,1983,"No"
one-capped,parts,one,96,64,separate,0,1,1,true,1988,"1"
one-capped,floating,one,96,64,separate,0,no,no,true,2039,"No"
two-floor,parts,one,96,64,separate,0,2,2,true,2030,"2"
two-floor,floating,one,96,64,separate,0,no,no,true,1995,"No"
two-air,parts,one,96,64,separate,0,2,2,true,1995,"2"
two-air,floating,one,96,64,separate,0,yes,yes,true,2035,"Yes. The top cube is not resting"
two-air-side,parts,one,96,64,separate,0,2,2,true,1882,"2"
two-air-side,floating,one,96,64,separate,0,yes,no,false,2275,"No"
three-floor,parts,one,96,64,separate,0,3,3,true,2615,"3"
three-floor,floating,one,96,64,separate,0,no,no,true,2591,"No"
three-one-air,parts,one,96,64,separate,0,3,3,true,2600,"3"
three-one-air,floating,one,96,64,separate,0,yes,yes,true,2834,"Yes. In the three-quarter front-right"
three-two-air,parts,one,96,64,separate,0,3,3,true,2348,"3"
three-two-air,floating,one,96,64,separate,0,yes,yes,true,2141,"Yes. The two spherical objects appear to"
four-floor,parts,one,96,64,separate,0,4,3,false,2000,"3"
four-floor,floating,one,96,64,separate,0,no,no,true,2252,"No"
four-one-air,parts,one,96,64,separate,0,4,2,false,2612,"2"
four-one-air,floating,one,96,64,separate,0,yes,yes,true,2797,"Yes. The cube positioned at the back"
four-two-air,parts,one,96,64,separate,0,4,4,true,2259,"4"
four-two-air,floating,one,96,64,separate,0,yes,yes,true,3154,"Yes. In the three-quarter front-right"
mark-front-a,mark,one,96,64,separate,0,front,left,false,1905,"left"
mark-front-b,mark,one,96,64,separate,0,front,front,true,1699,"front"
mark-back-a,mark,one,96,64,separate,0,back,front,false,2613,"front"
mark-back-b,mark,one,96,64,separate,0,back,right,false,2498,"right"
mark-left-a,mark,one,96,64,separate,0,left,front,false,428,"front"
mark-left-b,mark,one,96,64,separate,0,left,right,false,1456,"right"
mark-right-a,mark,one,96,64,separate,0,right,right,true,2000,"right"
mark-right-b,mark,one,96,64,separate,0,right,right,true,1584,"right"
