stimulus,question,views,size,grid,mode,examples,grammar,truth,parsed,correct,ms,said
two-floor,floating,fourIso,96,32,separate,0,false,no,no,true,5861,"No"
two-air,parts,fourIso,96,32,separate,0,false,2,2,true,5853,"2"
two-air,floating,fourIso,96,32,separate,0,false,yes,yes,true,10711,"Yes. The top cube is not connected to the bottom cube and appears to be floating"
two-air-side,parts,fourIso,96,32,separate,0,false,2,2,true,6178,"2"
two-air-side,floating,fourIso,96,32,separate,0,false,yes,yes,true,8465,"Yes. In all four views, the spherical object appears to be hovering above and se"
three-floor,parts,fourIso,96,32,separate,0,false,3,1,false,3980,"1"
three-floor,floating,fourIso,96,32,separate,0,false,no,no,true,5944,"No"
three-one-air,parts,fourIso,96,32,separate,0,false,3,3,true,5904,"3"
three-one-air,floating,fourIso,96,32,separate,0,false,yes,no,false,5994,"No"
three-two-air,parts,fourIso,96,32,separate,0,false,3,3,true,5996,"3"
three-two-air,floating,fourIso,96,32,separate,0,false,yes,yes,true,6460,"Yes"
four-floor,parts,fourIso,96,32,separate,0,false,4,3,false,6370,"3"
four-floor,floating,fourIso,96,32,separate,0,false,no,yes,false,10925,"Yes. In all four views, there is a cube that appears to be suspended in the midd"
four-one-air,parts,fourIso,96,32,separate,0,false,4,2,false,6100,"2"
four-one-air,floating,fourIso,96,32,separate,0,false,yes,yes,true,13075,"Yes. Looking at the four views, particularly the front-right and back-left views"
four-two-air,parts,fourIso,96,32,separate,0,false,4,4,true,4008,"4"
four-two-air,floating,fourIso,96,32,separate,0,false,yes,yes,true,12977,"Yes. In all four views, there are cubes that appear to be disconnected from the "
mark-front-a,mark,fourIso,96,32,separate,0,false,front,front,true,4122,"front"
mark-front-b,mark,fourIso,96,32,separate,0,false,front,front,true,4036,"front"
mark-back-a,mark,fourIso,96,32,separate,0,false,back,back,true,7245,"back"
mark-back-b,mark,fourIso,96,32,separate,0,false,back,back,true,7299,"back"
mark-left-a,mark,fourIso,96,32,separate,0,false,left,left,true,7236,"left"
mark-left-b,mark,fourIso,96,32,separate,0,false,left,left,true,7255,"left"
mark-right-a,mark,fourIso,96,32,separate,0,false,right,right,true,7311,"right"
mark-right-b,mark,fourIso,96,32,separate,0,false,right,right,true,6959,"right"
ball,name,fourIso,96,32,separate,0,true,ball,ball,true,6292,"ball"
cube,name,fourIso,96,32,separate,0,true,cube,cube,true,6312,"cube"
pillar,name,fourIso,96,32,separate,0,true,pillar,pillar,true,6292,"pillar"
cone,name,fourIso,96,32,separate,0,true,cone,cone,true,6296,"cone"
pyramid,name,fourIso,96,32,separate,0,true,pyramid,pyramid,true,6245,"pyramid"
ring,name,fourIso,96,32,separate,0,true,ring,ring,true,6242,"ring"
plate,name,fourIso,96,32,separate,0,true,plate,plate,true,6106,"plate"
l-shape,name,fourIso,96,32,separate,0,true,l-shape,l-shape,true,6111,"l-shape"
t-shape,name,fourIso,96,32,separate,0,true,t-shape,t-shape,true,6265,"t-shape"
cross,name,fourIso,96,32,separate,0,true,cross,cross,true,6269,"cross"
staircase,name,fourIso,96,32,separate,0,true,staircase,staircase,true,6313,"staircase"
arch,name,fourIso,96,32,separate,0,true,arch,arch,true,6314,"arch"
wide-1,longest,fourIso,96,32,separate,0,true,width,width,true,6193,"width"
wide-2,longest,fourIso,96,32,separate,0,true,width,width,true,6196,"width"
wide-3,longest,fourIso,96,32,separate,0,true,width,width,true,6271,"width"
tall-1,longest,fourIso,96,32,separate,0,true,height,height,true,6266,"height"
tall-2,longest,fourIso,96,32,separate,0,true,height,height,true,6235,"height"
tall-3,longest,fourIso,96,32,separate,0,true,height,height,true,6241,"height"
deep-1,longest,fourIso,96,32,separate,0,true,depth,width,false,6273,"width"
deep-2,longest,fourIso,96,32,separate,0,true,depth,width,false,6275,"width"
deep-3,longest,fourIso,96,32,separate,0,true,depth,width,false,6292,"width"
one-block,parts,fourIso,96,32,separate,0,true,1,1,true,6289,"1"
one-block,floating,fourIso,96,32,separate,0,true,no,no,true,6067,"no"
one-ball,parts,fourIso,96,32,separate,0,true,1,1,true,6029,"1"
one-ball,floating,fourIso,96,32,separate,0,true,no,no,true,6029,"no"
one-capped,parts,fourIso,96,32,separate,0,true,1,1,true,6031,"1"
one-capped,floating,fourIso,96,32,separate,0,true,no,no,true,6066,"no"
two-floor,parts,fourIso,96,32,separate,0,true,2,2,true,6030,"2"
two-floor,floating,fourIso,96,32,separate,0,true,no,no,true,6029,"no"
two-air,parts,fourIso,96,32,separate,0,true,2,2,true,6031,"2"
two-air,floating,fourIso,96,32,separate,0,true,yes,yes,true,6070,"yes"
two-air-side,parts,fourIso,96,32,separate,0,true,2,2,true,6033,"2"
two-air-side,floating,fourIso,96,32,separate,0,true,yes,yes,true,5892,"yes"
three-floor,parts,fourIso,96,32,separate,0,true,3,1,false,5894,"1"
three-floor,floating,fourIso,96,32,separate,0,true,no,no,true,6000,"no"
three-one-air,parts,fourIso,96,32,separate,0,true,3,3,true,5960,"3"
three-one-air,floating,fourIso,96,32,separate,0,true,yes,no,false,6022,"no"
three-two-air,parts,fourIso,96,32,separate,0,true,3,3,true,6028,"3"
three-two-air,floating,fourIso,96,32,separate,0,true,yes,yes,true,6021,"yes"
four-floor,parts,fourIso,96,32,separate,0,true,4,3,false,5978,"3"
four-floor,floating,fourIso,96,32,separate,0,true,no,yes,false,6043,"yes"
four-one-air,parts,fourIso,96,32,separate,0,true,4,2,false,6044,"2"
four-one-air,floating,fourIso,96,32,separate,0,true,yes,yes,true,6065,"yes"
four-two-air,parts,fourIso,96,32,separate,0,true,4,4,true,6027,"4"
four-two-air,floating,fourIso,96,32,separate,0,true,yes,yes,true,5939,"yes"
mark-front-a,mark,fourIso,96,32,separate,0,true,front,right,false,5940,"right"
mark-front-b,mark,fourIso,96,32,separate,0,true,front,right,false,6268,"right"
mark-back-a,mark,fourIso,96,32,separate,0,true,back,back,true,6265,"back"
mark-back-b,mark,fourIso,96,32,separate,0,true,back,back,true,6286,"back"
mark-left-a,mark,fourIso,96,32,separate,0,true,left,left,true,6287,"left"
mark-left-b,mark,fourIso,96,32,separate,0,true,left,left,true,6288,"left"
mark-right-a,mark,fourIso,96,32,separate,0,true,right,right,true,6291,"right"
mark-right-b,mark,fourIso,96,32,separate,0,true,right,right,true,4139,"right"
ball,name,six,96,32,separate,0,false,ball,ball,true,8696,"ball"
cube,name,six,96,32,separate,0,false,cube,cube,true,8691,"cube"
pillar,name,six,96,32,separate,0,false,pillar,pillar,true,9040,"pillar"
cone,name,six,96,32,separate,0,false,cone,cone,true,9029,"cone"
pyramid,name,six,96,32,separate,0,false,pyramid,pyramid,true,9042,"pyramid"
ring,name,six,96,32,separate,0,false,ring,ring,true,9044,"ring"
plate,name,six,96,32,separate,0,false,plate,plate,true,8917,"plate"
l-shape,name,six,96,32,separate,0,false,l-shape,l-shape,true,8921,"l-shape"
t-shape,name,six,96,32,separate,0,false,t-shape,t-shape,true,9008,"t-shape"
cross,name,six,96,32,separate,0,false,cross,cross,true,9004,"cross"
staircase,name,six,96,32,separate,0,false,staircase,staircase,true,9037,"staircase"
arch,name,six,96,32,separate,0,false,arch,arch,true,9031,"arch"
wide-1,longest,six,96,32,separate,0,false,width,width,true,8924,"width"
wide-2,longest,six,96,32,separate,0,false,width,width,true,8925,"width"
wide-3,longest,six,96,32,separate,0,false,width,width,true,9140,"width"
tall-1,longest,six,96,32,separate,0,false,height,height,true,9142,"height"
tall-2,longest,six,96,32,separate,0,false,height,height,true,9001,"height"
tall-3,longest,six,96,32,separate,0,false,height,height,true,9005,"height"
deep-1,longest,six,96,32,separate,0,false,depth,depth,true,9020,"depth"
deep-2,longest,six,96,32,separate,0,false,depth,depth,true,9022,"depth"
deep-3,longest,six,96,32,separate,0,false,depth,depth,true,9052,"depth"
one-block,parts,six,96,32,separate,0,false,1,1,true,9052,"1"
one-block,floating,six,96,32,separate,0,false,no,no,true,8748,"No"
one-ball,parts,six,96,32,separate,0,false,1,1,true,8739,"1"
one-ball,floating,six,96,32,separate,0,false,no,no,true,9168,"No"
one-capped,parts,six,96,32,separate,0,false,1,1,true,9160,"1"
one-capped,floating,six,96,32,separate,0,false,no,no,true,8691,"No"
two-floor,parts,six,96,32,separate,0,false,2,2,true,8690,"2"
two-floor,floating,six,96,32,separate,0,false,no,no,true,8737,"No"
two-air,parts,six,96,32,separate,0,false,2,2,true,8728,"2"
two-air,floating,six,96,32,separate,0,false,yes,no,false,8918,"No"
two-air-side,parts,six,96,32,separate,0,false,2,2,true,8912,"2"
two-air-side,floating,six,96,32,separate,0,false,yes,yes,true,20388,"Yes. The circular shape is shown in the front, back, top, and bottom views as be"
three-floor,parts,six,96,32,separate,0,false,3,1,false,8742,"1"
three-floor,floating,six,96,32,separate,0,false,no,no,true,5598,"No"
three-one-air,parts,six,96,32,separate,0,false,3,3,true,5934,"3"
three-one-air,floating,six,96,32,separate,0,false,yes,unparsed,false,24500,"Based on the analysis of the six views provided, we can reconstruct the 3D model"
three-two-air,parts,six,96,32,separate,0,false,3,3,true,8534,"3"
three-two-air,floating,six,96,32,separate,0,false,yes,no,false,5536,"No"
four-floor,parts,six,96,32,separate,0,false,4,4,true,5858,"4"
four-floor,floating,six,96,32,separate,0,false,no,no,true,6497,"No"
four-one-air,parts,six,96,32,separate,0,false,4,1,false,10405,"1"
four-one-air,floating,six,96,32,separate,0,false,yes,unparsed,false,26982,"Based on the analysis of the six views provided: - **Top and Bottom Views:** The"
four-two-air,parts,six,96,32,separate,0,false,4,2,false,6887,"2"
four-two-air,floating,six,96,32,separate,0,false,yes,no,false,5663,"No"
mark-front-a,mark,six,96,32,separate,0,false,front,front,true,5955,"front"
mark-front-b,mark,six,96,32,separate,0,false,front,front,true,9059,"front"
mark-back-a,mark,six,96,32,separate,0,false,back,back,true,8966,"back"
mark-back-b,mark,six,96,32,separate,0,false,back,back,true,9094,"back"
mark-left-a,mark,six,96,32,separate,0,false,left,left,true,9094,"left"
mark-left-b,mark,six,96,32,separate,0,false,left,left,true,8966,"left"
mark-right-a,mark,six,96,32,separate,0,false,right,right,true,8968,"right"
mark-right-b,mark,six,96,32,separate,0,false,right,right,true,5806,"right"
ball,name,six,96,32,separate,0,true,ball,ball,true,8732,"ball"
cube,name,six,96,32,separate,0,true,cube,cube,true,8755,"cube"
pillar,name,six,96,32,separate,0,true,pillar,pillar,true,9103,"pillar"
cone,name,six,96,32,separate,0,true,cone,cone,true,9060,"cone"
pyramid,name,six,96,32,separate,0,true,pyramid,pyramid,true,9042,"pyramid"
ring,name,six,96,32,separate,0,true,ring,ring,true,9040,"ring"
plate,name,six,96,32,separate,0,true,plate,plate,true,9044,"plate"
l-shape,name,six,96,32,separate,0,true,l-shape,l-shape,true,9047,"l-shape"
t-shape,name,six,96,32,separate,0,true,t-shape,t-shape,true,8913,"t-shape"
cross,name,six,96,32,separate,0,true,cross,cross,true,8917,"cross"
staircase,name,six,96,32,separate,0,true,staircase,staircase,true,9004,"staircase"
arch,name,six,96,32,separate,0,true,arch,arch,true,9002,"arch"
wide-1,longest,six,96,32,separate,0,true,width,width,true,9043,"width"
wide-2,longest,six,96,32,separate,0,true,width,width,true,9046,"width"
wide-3,longest,six,96,32,separate,0,true,width,width,true,9152,"width"
tall-1,longest,six,96,32,separate,0,true,height,height,true,9154,"height"
tall-2,longest,six,96,32,separate,0,true,height,height,true,9016,"height"
tall-3,longest,six,96,32,separate,0,true,height,height,true,9013,"height"
deep-1,longest,six,96,32,separate,0,true,depth,depth,true,9039,"depth"
deep-2,longest,six,96,32,separate,0,true,depth,depth,true,9040,"depth"
deep-3,longest,six,96,32,separate,0,true,depth,depth,true,9040,"depth"
one-block,parts,six,96,32,separate,0,true,1,1,true,9039,"1"
one-block,floating,six,96,32,separate,0,true,no,no,true,8795,"no"
one-ball,parts,six,96,32,separate,0,true,1,1,true,8758,"1"
one-ball,floating,six,96,32,separate,0,true,no,no,true,9267,"no"
one-capped,parts,six,96,32,separate,0,true,1,1,true,9230,"1"
one-capped,floating,six,96,32,separate,0,true,no,no,true,8723,"no"
two-floor,parts,six,96,32,separate,0,true,2,2,true,8726,"2"
two-floor,floating,six,96,32,separate,0,true,no,no,true,8781,"no"
two-air,parts,six,96,32,separate,0,true,2,2,true,8746,"2"
two-air,floating,six,96,32,separate,0,true,yes,no,false,9214,"no"
two-air-side,parts,six,96,32,separate,0,true,2,2,true,9179,"2"
two-air-side,floating,six,96,32,separate,0,true,yes,yes,true,8694,"yes"
three-floor,parts,six,96,32,separate,0,true,3,1,false,8697,"1"
three-floor,floating,six,96,32,separate,0,true,no,no,true,8618,"no"
three-one-air,parts,six,96,32,separate,0,true,3,3,true,8582,"3"
three-one-air,floating,six,96,32,separate,0,true,yes,no,false,9124,"no"
three-two-air,parts,six,96,32,separate,0,true,3,3,true,9089,"3"
three-two-air,floating,six,96,32,separate,0,true,yes,no,false,8674,"no"
four-floor,parts,six,96,32,separate,0,true,4,4,true,8676,"4"
four-floor,floating,six,96,32,separate,0,true,no,no,true,8743,"no"
four-one-air,parts,six,96,32,separate,0,true,4,1,false,8703,"1"
four-one-air,floating,six,96,32,separate,0,true,yes,no,false,8745,"no"
four-two-air,parts,six,96,32,separate,0,true,4,2,false,8747,"2"
four-two-air,floating,six,96,32,separate,0,true,yes,no,false,8768,"no"
mark-front-a,mark,six,96,32,separate,0,true,front,front,true,8732,"front"
mark-front-b,mark,six,96,32,separate,0,true,front,front,true,9053,"front"
mark-back-a,mark,six,96,32,separate,0,true,back,back,true,9056,"back"
mark-back-b,mark,six,96,32,separate,0,true,back,back,true,9063,"back"
mark-left-a,mark,six,96,32,separate,0,true,left,left,true,9064,"left"
mark-left-b,mark,six,96,32,separate,0,true,left,left,true,9030,"left"
mark-right-a,mark,six,96,32,separate,0,true,right,right,true,9032,"right"
mark-right-b,mark,six,96,32,separate,0,true,right,right,true,5884,"right"
