stimulus,question,views,size,grid,mode,examples,truth,parsed,correct,ms,said
plate,name,four,96,32,separate,0,plate,plate,true,6182,"plate"
l-shape,name,four,96,32,separate,0,l-shape,l-shape,true,6182,"l-shape"
t-shape,name,four,96,32,separate,0,t-shape,t-shape,true,6167,"t-shape"
cross,name,four,96,32,separate,0,cross,cross,true,6167,"cross"
staircase,name,four,96,32,separate,0,staircase,staircase,true,6275,"staircase"
arch,name,four,96,32,separate,0,arch,arch,true,6279,"arch"
wide-1,longest,four,96,32,separate,0,width,width,true,6287,"width"
wide-2,longest,four,96,32,separate,0,width,width,true,6289,"width"
wide-3,longest,four,96,32,separate,0,width,width,true,6262,"width"
tall-1,longest,four,96,32,separate,0,height,height,true,6260,"height"
tall-2,longest,four,96,32,separate,0,height,height,true,6255,"height"
tall-3,longest,four,96,32,separate,0,height,height,true,6259,"height"
deep-1,longest,four,96,32,separate,0,depth,width,false,6302,"width"
deep-2,longest,four,96,32,separate,0,depth,width,false,6304,"width"
deep-3,longest,four,96,32,separate,0,depth,width,false,6353,"width"
one-block,parts,four,96,32,separate,0,1,1,true,6350,"1"
one-block,floating,four,96,32,separate,0,no,no,true,6000,"No"
one-ball,parts,four,96,32,separate,0,1,1,true,5987,"1"
one-ball,floating,four,96,32,separate,0,no,no,true,5994,"No"
one-capped,parts,four,96,32,separate,0,1,1,true,5995,"1"
one-capped,floating,four,96,32,separate,0,no,no,true,6008,"No"
two-floor,parts,four,96,32,separate,0,2,2,true,5997,"2"
two-floor,floating,four,96,32,separate,0,no,no,true,5979,"No"
two-air,parts,four,96,32,separate,0,2,2,true,5982,"2"
two-air,floating,four,96,32,separate,0,yes,no,false,5893,"No"
two-air-side,parts,four,96,32,separate,0,2,2,true,5885,"2"
two-air-side,floating,four,96,32,separate,0,yes,yes,true,5979,"Yes. From the front view,"
three-floor,parts,four,96,32,separate,0,3,1,false,5901,"1"
three-floor,floating,four,96,32,separate,0,no,no,true,5983,"No"
three-one-air,parts,four,96,32,separate,0,3,3,true,5905,"3"
three-one-air,floating,four,96,32,separate,0,yes,yes,true,6073,"Yes. Based on the views provided,"
three-two-air,parts,four,96,32,separate,0,3,3,true,5983,"3"
three-two-air,floating,four,96,32,separate,0,yes,no,false,5912,"No"
four-floor,parts,four,96,32,separate,0,4,2,false,5822,"2"
four-floor,floating,four,96,32,separate,0,no,no,true,5992,"No"
four-one-air,parts,four,96,32,separate,0,4,1,false,5993,"1"
four-one-air,floating,four,96,32,separate,0,yes,no,false,6004,"No"
four-two-air,parts,four,96,32,separate,0,4,4,true,5998,"4"
four-two-air,floating,four,96,32,separate,0,yes,no,false,5994,"No"
mark-front-a,mark,four,96,32,separate,0,front,front,true,5995,"front"
mark-front-b,mark,four,96,32,separate,0,front,front,true,6138,"front"
mark-back-a,mark,four,96,32,separate,0,back,back,true,6141,"back"
mark-back-b,mark,four,96,32,separate,0,back,back,true,6253,"back"
mark-left-a,mark,four,96,32,separate,0,left,left,true,6255,"left"
mark-left-b,mark,four,96,32,separate,0,left,left,true,6263,"left"
mark-right-a,mark,four,96,32,separate,0,right,right,true,6265,"right"
mark-right-b,mark,four,96,32,separate,0,right,right,true,4109,"right"
ball,name,fourIso,96,32,separate,0,ball,ball,true,5996,"ball"
cube,name,fourIso,96,32,separate,0,cube,cube,true,6001,"cube"
pillar,name,fourIso,96,32,separate,0,pillar,pillar,true,6311,"pillar"
cone,name,fourIso,96,32,separate,0,cone,cone,true,6303,"cone"
pyramid,name,fourIso,96,32,separate,0,pyramid,pyramid,true,6235,"pyramid"
ring,name,fourIso,96,32,separate,0,ring,ring,true,6238,"ring"
plate,name,fourIso,96,32,separate,0,plate,plate,true,6081,"plate"
l-shape,name,fourIso,96,32,separate,0,l-shape,l-shape,true,6086,"l-shape"
t-shape,name,fourIso,96,32,separate,0,t-shape,t-shape,true,6255,"t-shape"
cross,name,fourIso,96,32,separate,0,cross,cross,true,6260,"cross"
staircase,name,fourIso,96,32,separate,0,staircase,staircase,true,6189,"staircase"
arch,name,fourIso,96,32,separate,0,arch,arch,true,6190,"arch"
wide-1,longest,fourIso,96,32,separate,0,width,width,true,6275,"width"
wide-2,longest,fourIso,96,32,separate,0,width,width,true,6280,"width"
wide-3,longest,fourIso,96,32,separate,0,width,width,true,6246,"width"
tall-1,longest,fourIso,96,32,separate,0,height,height,true,6248,"height"
tall-2,longest,fourIso,96,32,separate,0,height,height,true,6234,"height"
tall-3,longest,fourIso,96,32,separate,0,height,height,true,6239,"height"
deep-1,longest,fourIso,96,32,separate,0,depth,width,false,6277,"width"
deep-2,longest,fourIso,96,32,separate,0,depth,width,false,6277,"width"
deep-3,longest,fourIso,96,32,separate,0,depth,width,false,6329,"width"
one-block,parts,fourIso,96,32,separate,0,1,1,true,6330,"1"
one-block,floating,fourIso,96,32,separate,0,no,no,true,6005,"No"
one-ball,parts,fourIso,96,32,separate,0,1,1,true,5997,"1"
one-ball,floating,fourIso,96,32,separate,0,no,no,true,6393,"No"
one-capped,parts,fourIso,96,32,separate,0,1,1,true,6386,"1"
one-capped,floating,fourIso,96,32,separate,0,no,no,true,5963,"No"
two-floor,parts,fourIso,96,32,separate,0,2,2,true,5966,"2"
two-floor,floating,fourIso,96,32,separate,0,no,no,true,6022,"No"
two-air,parts,fourIso,96,32,separate,0,2,2,true,6014,"2"
two-air,floating,fourIso,96,32,separate,0,yes,yes,true,6348,"Yes. The top cube is floating above"
two-air-side,parts,fourIso,96,32,separate,0,2,2,true,6229,"2"
two-air-side,floating,fourIso,96,32,separate,0,yes,yes,true,6141,"Yes. In all four views, the"
three-floor,parts,fourIso,96,32,separate,0,3,1,false,5848,"1"
three-floor,floating,fourIso,96,32,separate,0,no,no,true,6868,"No"
three-one-air,parts,fourIso,96,32,separate,0,3,3,true,7206,"3"
three-one-air,floating,fourIso,96,32,separate,0,yes,no,false,7274,"No"
three-two-air,parts,fourIso,96,32,separate,0,3,3,true,7222,"3"
three-two-air,floating,fourIso,96,32,separate,0,yes,yes,true,7468,"Yes. The two spherical objects are shown"
four-floor,parts,fourIso,96,32,separate,0,4,4,true,7011,"4"
four-floor,floating,fourIso,96,32,separate,0,no,yes,false,6082,"Yes. In all four views, there"
four-one-air,parts,fourIso,96,32,separate,0,4,2,false,5986,"2"
four-one-air,floating,fourIso,96,32,separate,0,yes,yes,true,6105,"Yes. Looking at the four views,"
four-two-air,parts,fourIso,96,32,separate,0,4,4,true,5937,"4"
four-two-air,floating,fourIso,96,32,separate,0,yes,yes,true,6128,"Yes. In all four views, there"
mark-front-a,mark,fourIso,96,32,separate,0,front,right,false,5961,"right"
mark-front-b,mark,fourIso,96,32,separate,0,front,front,true,6160,"front"
mark-back-a,mark,fourIso,96,32,separate,0,back,back,true,6065,"back"
mark-back-b,mark,fourIso,96,32,separate,0,back,back,true,6352,"back"
mark-left-a,mark,fourIso,96,32,separate,0,left,left,true,6354,"left"
mark-left-b,mark,fourIso,96,32,separate,0,left,left,true,6351,"left"
mark-right-a,mark,fourIso,96,32,separate,0,right,right,true,6345,"right"
mark-right-b,mark,fourIso,96,32,separate,0,right,right,true,4063,"right"
ball,name,six,96,32,separate,0,ball,ball,true,8676,"ball"
cube,name,six,96,32,separate,0,cube,cube,true,8680,"cube"
pillar,name,six,96,32,separate,0,pillar,pillar,true,9042,"pillar"
cone,name,six,96,32,separate,0,cone,cone,true,9043,"cone"
pyramid,name,six,96,32,separate,0,pyramid,pyramid,true,9053,"pyramid"
ring,name,six,96,32,separate,0,ring,ring,true,9056,"ring"
plate,name,six,96,32,separate,0,plate,plate,true,8945,"plate"
l-shape,name,six,96,32,separate,0,l-shape,l-shape,true,8943,"l-shape"
t-shape,name,six,96,32,separate,0,t-shape,t-shape,true,8931,"t-shape"
cross,name,six,96,32,separate,0,cross,cross,true,8923,"cross"
staircase,name,six,96,32,separate,0,staircase,staircase,true,8987,"staircase"
arch,name,six,96,32,separate,0,arch,arch,true,8978,"arch"
wide-1,longest,six,96,32,separate,0,width,width,true,9036,"width"
wide-2,longest,six,96,32,separate,0,width,width,true,9029,"width"
wide-3,longest,six,96,32,separate,0,width,width,true,9144,"width"
tall-1,longest,six,96,32,separate,0,height,height,true,9133,"height"
tall-2,longest,six,96,32,separate,0,height,height,true,8932,"height"
tall-3,longest,six,96,32,separate,0,height,height,true,8920,"height"
deep-1,longest,six,96,32,separate,0,depth,depth,true,9040,"depth"
deep-2,longest,six,96,32,separate,0,depth,depth,true,9031,"depth"
deep-3,longest,six,96,32,separate,0,depth,depth,true,9065,"depth"
one-block,parts,six,96,32,separate,0,1,1,true,9053,"1"
one-block,floating,six,96,32,separate,0,no,no,true,9237,"No"
one-ball,parts,six,96,32,separate,0,1,1,true,9225,"1"
one-ball,floating,six,96,32,separate,0,no,no,true,9149,"No"
one-capped,parts,six,96,32,separate,0,1,1,true,9141,"1"
one-capped,floating,six,96,32,separate,0,no,no,true,9026,"No"
two-floor,parts,six,96,32,separate,0,2,2,true,9013,"2"
two-floor,floating,six,96,32,separate,0,no,no,true,9154,"No"
two-air,parts,six,96,32,separate,0,2,2,true,9137,"2"
two-air,floating,six,96,32,separate,0,yes,no,false,9041,"No"
two-air-side,parts,six,96,32,separate,0,2,2,true,9034,"2"
two-air-side,floating,six,96,32,separate,0,yes,yes,true,9276,"Yes. The circular part is shown floating"
three-floor,parts,six,96,32,separate,0,3,1,false,9116,"1"
three-floor,floating,six,96,32,separate,0,no,unparsed,false,8758,"Based on the provided views, we can"
three-one-air,parts,six,96,32,separate,0,3,3,true,8559,"3"
three-one-air,floating,six,96,32,separate,0,yes,unparsed,false,8843,"Based on the analysis of the six views"
three-two-air,parts,six,96,32,separate,0,3,3,true,8722,"3"
three-two-air,floating,six,96,32,separate,0,yes,no,false,8658,"No"
four-floor,parts,six,96,32,separate,0,4,4,true,8592,"4"
four-floor,floating,six,96,32,separate,0,no,unparsed,false,8805,"Based on the provided views, we can"
four-one-air,parts,six,96,32,separate,0,4,1,false,8747,"1"
four-one-air,floating,six,96,32,separate,0,yes,no,false,8850,"No. Based on the six views provided"
four-two-air,parts,six,96,32,separate,0,4,2,false,8666,"2"
four-two-air,floating,six,96,32,separate,0,yes,unparsed,false,8809,"Based on the provided views, we can"
mark-front-a,mark,six,96,32,separate,0,front,front,true,8623,"front"
mark-front-b,mark,six,96,32,separate,0,front,front,true,8887,"front"
mark-back-a,mark,six,96,32,separate,0,back,back,true,8844,"back"
mark-back-b,mark,six,96,32,separate,0,back,back,true,9044,"back"
mark-left-a,mark,six,96,32,separate,0,left,left,true,9045,"left"
mark-left-b,mark,six,96,32,separate,0,left,left,true,9028,"left"
mark-right-a,mark,six,96,32,separate,0,right,right,true,9031,"right"
mark-right-b,mark,six,96,32,separate,0,right,right,true,5885,"right"
ball,name,four,96,32,strip,0,ball,ball,true,2095,"ball"
cube,name,four,96,32,strip,0,cube,cube,true,2103,"cube"
pillar,name,four,96,32,strip,0,pillar,arch,false,2128,"arch"
cone,name,four,96,32,strip,0,cone,pyramid,false,2126,"pyramid"
pyramid,name,four,96,32,strip,0,pyramid,pyramid,true,2172,"pyramid"
ring,name,four,96,32,strip,0,ring,plate,false,2176,"plate"
plate,name,four,96,32,strip,0,plate,plate,true,2190,"plate"
l-shape,name,four,96,32,strip,0,l-shape,l-shape,true,2195,"l-shape"
t-shape,name,four,96,32,strip,0,t-shape,t-shape,true,2254,"t-shape"
cross,name,four,96,32,strip,0,cross,cross,true,2259,"cross"
staircase,name,four,96,32,strip,0,staircase,staircase,true,2149,"staircase"
arch,name,four,96,32,strip,0,arch,arch,true,2154,"arch"
wide-1,longest,four,96,32,strip,0,width,width,true,2255,"width"
wide-2,longest,four,96,32,strip,0,width,width,true,2250,"width"
wide-3,longest,four,96,32,strip,0,width,width,true,2305,"width"
tall-1,longest,four,96,32,strip,0,height,height,true,2311,"height"
tall-2,longest,four,96,32,strip,0,height,height,true,2237,"height"
tall-3,longest,four,96,32,strip,0,height,height,true,2232,"height"
deep-1,longest,four,96,32,strip,0,depth,width,false,2117,"width"
deep-2,longest,four,96,32,strip,0,depth,width,false,2122,"width"
deep-3,longest,four,96,32,strip,0,depth,width,false,2240,"width"
one-block,parts,four,96,32,strip,0,1,1,true,2234,"1"
one-block,floating,four,96,32,strip,0,no,no,true,1961,"No"
one-ball,parts,four,96,32,strip,0,1,1,true,1966,"1"
one-ball,floating,four,96,32,strip,0,no,no,true,2018,"No"
one-capped,parts,four,96,32,strip,0,1,1,true,2013,"1"
one-capped,floating,four,96,32,strip,0,no,no,true,2007,"No"
two-floor,parts,four,96,32,strip,0,2,3,false,2012,"3"
two-floor,floating,four,96,32,strip,0,no,no,true,2173,"No"
two-air,parts,four,96,32,strip,0,2,2,true,2168,"2"
two-air,floating,four,96,32,strip,0,yes,no,false,1947,"No"
two-air-side,parts,four,96,32,strip,0,2,3,false,1952,"3"
two-air-side,floating,four,96,32,strip,0,yes,yes,true,2320,"Yes. Looking at the four views ("
three-floor,parts,four,96,32,strip,0,3,2,false,2172,"2"
three-floor,floating,four,96,32,strip,0,no,no,true,2192,"No"
three-one-air,parts,four,96,32,strip,0,3,2,false,2543,"2"
three-one-air,floating,four,96,32,strip,0,yes,no,false,2501,"No"
three-two-air,parts,four,96,32,strip,0,3,2,false,2500,"2"
three-two-air,floating,four,96,32,strip,0,yes,no,false,2611,"No"
four-floor,parts,four,96,32,strip,0,4,2,false,2529,"2"
four-floor,floating,four,96,32,strip,0,no,no,true,2516,"No"
four-one-air,parts,four,96,32,strip,0,4,1,false,2598,"1"
four-one-air,floating,four,96,32,strip,0,yes,no,false,2598,"No"
four-two-air,parts,four,96,32,strip,0,4,3,false,2598,"3"
four-two-air,floating,four,96,32,strip,0,yes,no,false,2597,"No"
mark-front-a,mark,four,96,32,strip,0,front,front,true,2593,"front"
mark-front-b,mark,four,96,32,strip,0,front,front,true,2595,"front"
mark-back-a,mark,four,96,32,strip,0,back,left,false,2466,"left"
mark-back-b,mark,four,96,32,strip,0,back,left,false,2470,"left"
mark-left-a,mark,four,96,32,strip,0,left,right,false,2600,"right"
mark-left-b,mark,four,96,32,strip,0,left,left,true,2645,"left"
mark-right-a,mark,four,96,32,strip,0,right,right,true,2572,"right"
mark-right-b,mark,four,96,32,strip,0,right,right,true,1414,"right"
ball,name,six,96,32,strip,0,ball,ball,true,2471,"ball"
cube,name,six,96,32,strip,0,cube,cube,true,2463,"cube"
pillar,name,six,96,32,strip,0,pillar,pillar,true,2383,"pillar"
cone,name,six,96,32,strip,0,cone,cone,true,2389,"cone"
pyramid,name,six,96,32,strip,0,pyramid,pyramid,true,2489,"pyramid"
ring,name,six,96,32,strip,0,ring,ring,true,2481,"ring"
plate,name,six,96,32,strip,0,plate,plate,true,2304,"plate"
l-shape,name,six,96,32,strip,0,l-shape,l-shape,true,2311,"l-shape"
t-shape,name,six,96,32,strip,0,t-shape,t-shape,true,2434,"t-shape"
cross,name,six,96,32,strip,0,cross,cross,true,2442,"cross"
staircase,name,six,96,32,strip,0,staircase,staircase,true,2486,"staircase"
arch,name,six,96,32,strip,0,arch,arch,true,2479,"arch"
wide-1,longest,six,96,32,strip,0,width,width,true,2393,"width"
wide-2,longest,six,96,32,strip,0,width,width,true,2400,"width"
wide-3,longest,six,96,32,strip,0,width,width,true,2542,"width"
tall-1,longest,six,96,32,strip,0,height,height,true,2550,"height"
tall-2,longest,six,96,32,strip,0,height,height,true,2441,"height"
tall-3,longest,six,96,32,strip,0,height,height,true,2449,"height"
deep-1,longest,six,96,32,strip,0,depth,width,false,2456,"width"
deep-2,longest,six,96,32,strip,0,depth,width,false,2463,"width"
deep-3,longest,six,96,32,strip,0,depth,width,false,2333,"width"
one-block,parts,six,96,32,strip,0,1,1,true,2342,"1"
one-block,floating,six,96,32,strip,0,no,no,true,2485,"No"
one-ball,parts,six,96,32,strip,0,1,3,false,2477,"3"
one-ball,floating,six,96,32,strip,0,no,no,true,2570,"No"
one-capped,parts,six,96,32,strip,0,1,1,true,2563,"1"
one-capped,floating,six,96,32,strip,0,no,no,true,2507,"No"
two-floor,parts,six,96,32,strip,0,2,3,false,2497,"3"
two-floor,floating,six,96,32,strip,0,no,no,true,2520,"No"
two-air,parts,six,96,32,strip,0,2,1,false,2511,"1"
two-air,floating,six,96,32,strip,0,yes,no,false,2514,"No"
two-air-side,parts,six,96,32,strip,0,2,2,true,2507,"2"
two-air-side,floating,six,96,32,strip,0,yes,yes,true,3446,"Yes. Looking at the views, particularly"
three-floor,parts,six,96,32,strip,0,3,3,true,2426,"3"
three-floor,floating,six,96,32,strip,0,no,no,true,1474,"No"
three-one-air,parts,six,96,32,strip,0,3,1,false,2624,"1"
three-one-air,floating,six,96,32,strip,0,yes,yes,true,3705,"Yes. Looking at the 'from above"
three-two-air,parts,six,96,32,strip,0,3,2,false,1541,"2"
three-two-air,floating,six,96,32,strip,0,yes,yes,true,2395,"Yes"
four-floor,parts,six,96,32,strip,0,4,4,true,2388,"4"
four-floor,floating,six,96,32,strip,0,no,no,true,2173,"No"
four-one-air,parts,six,96,32,strip,0,4,1,false,2180,"1"
four-one-air,floating,six,96,32,strip,0,yes,yes,true,3252,"Yes. Looking at the 'from above"
four-two-air,parts,six,96,32,strip,0,4,3,false,2231,"3"
four-two-air,floating,six,96,32,strip,0,yes,no,false,1440,"No"
mark-front-a,mark,six,96,32,strip,0,front,front,true,2513,"front"
mark-front-b,mark,six,96,32,strip,0,front,front,true,2592,"front"
mark-back-a,mark,six,96,32,strip,0,back,back,true,2674,"back"
mark-back-b,mark,six,96,32,strip,0,back,right,false,2674,"right"
mark-left-a,mark,six,96,32,strip,0,left,front,false,2689,"front"
mark-left-b,mark,six,96,32,strip,0,left,left,true,2691,"left"
mark-right-a,mark,six,96,32,strip,0,right,right,true,2744,"right"
mark-right-b,mark,six,96,32,strip,0,right,right,true,2436,"right"
